machine|version|march|optimization|fp|duration
xeon|11.2.0|native|O0|omit-frame-pointer|2229.175025
i5|9.3.0|x86-64|Og|omit-frame-pointer|2514.4493279999997
i5|10.3.0|x86-64|Ofast|no-omit-frame-pointer|2432.3080929999996
xeon|11.2.0|x86-64|Og|omit-frame-pointer|1303.134546
i5|4.8.5|x86-64|Ofast|no-omit-frame-pointer|
xeon|9.3.0|x86-64|Os|no-omit-frame-pointer|1398.0788139999995
i5|9.3.0|native|O1|no-omit-frame-pointer|3086.326882
xeon|11.2.0|native|O1|no-omit-frame-pointer|1255.1588810000003
xeon|11.2.0|x86-64|O0|no-omit-frame-pointer|2418.6620420000004
xeon|10.3.0|x86-64|O2|no-omit-frame-pointer|1216.5729919999999
i5|4.8.5|x86-64|O1|omit-frame-pointer|2558.6867859999998
i5|10.3.0|x86-64|O1|omit-frame-pointer|2528.247104
xeon|11.2.0|native|Og|no-omit-frame-pointer|1317.6752050000002
i5|4.8.5|native|Og|omit-frame-pointer|2623.5209470000004
i5|9.3.0|native|Os|no-omit-frame-pointer|3370.2691670000004
xeon|10.3.0|x86-64|Ofast|omit-frame-pointer|1127.089314
xeon|9.3.0|x86-64|O1|omit-frame-pointer|1200.3340779999999
i5|9.3.0|native|Ofast|no-omit-frame-pointer|2439.9580779999997
i5|11.2.0|native|O3|omit-frame-pointer|2367.8950950000003
i5|9.3.0|native|O2|omit-frame-pointer|2383.852491
i5|4.8.5|x86-64|O3|omit-frame-pointer|2362.855643
i5|4.8.5|native|Os|no-omit-frame-pointer|2724.963980000001
i5|9.3.0|x86-64|Ofast|omit-frame-pointer|2390.13738
i5|9.3.0|native|O1|omit-frame-pointer|2464.5101709999994
i5|4.8.5|x86-64|Og|omit-frame-pointer|2590.965584999999
xeon|11.2.0|native|O3|no-omit-frame-pointer|1171.5196780000003
xeon|10.3.0|x86-64|Ofast|no-omit-frame-pointer|1167.1935130000002
i5|10.3.0|native|O2|omit-frame-pointer|2423.189699
i5|4.8.5|native|O1|omit-frame-pointer|3112.8704579999994
xeon|11.2.0|native|Og|omit-frame-pointer|1276.3743349999995
i5|9.3.0|x86-64|O1|omit-frame-pointer|2445.8395519999995
i5|10.3.0|x86-64|O3|omit-frame-pointer|2379.609735
i5|10.3.0|x86-64|O0|no-omit-frame-pointer|4376.732009000001
i5|10.3.0|native|Og|no-omit-frame-pointer|2627.0371709999995
xeon|9.3.0|native|Og|no-omit-frame-pointer|1287.1053100000001
i5|11.2.0|native|Ofast|omit-frame-pointer|2989.180666
xeon|11.2.0|native|Ofast|omit-frame-pointer|1138.2317979999998
xeon|10.3.0|x86-64|O3|no-omit-frame-pointer|1164.646071
xeon|11.2.0|native|O1|omit-frame-pointer|1214.445076
xeon|10.3.0|x86-64|O1|omit-frame-pointer|1245.218797
xeon|11.2.0|native|O2|no-omit-frame-pointer|1204.8070569999998
xeon|11.2.0|native|Os|no-omit-frame-pointer|1380.897765
i5|9.3.0|native|O2|no-omit-frame-pointer|3078.0260259999995
i5|9.3.0|x86-64|O0|omit-frame-pointer|4305.705671
i5|10.3.0|native|Og|omit-frame-pointer|3216.481018
xeon|11.2.0|x86-64|Os|no-omit-frame-pointer|1401.1942510000003
xeon|11.2.0|x86-64|O1|no-omit-frame-pointer|1286.4528109999999
xeon|10.3.0|native|O1|omit-frame-pointer|1228.9724459999998
xeon|10.3.0|native|Ofast|no-omit-frame-pointer|1183.9800710000006
xeon|10.3.0|native|Og|omit-frame-pointer|1284.6784359999995
i5|10.3.0|native|O1|no-omit-frame-pointer|3142.5459150000006
i5|10.3.0|x86-64|Og|no-omit-frame-pointer|2639.277466
i5|10.3.0|x86-64|O3|no-omit-frame-pointer|3017.70354
i5|4.8.5|native|Ofast|no-omit-frame-pointer|
xeon|10.3.0|native|Os|no-omit-frame-pointer|1398.980725000001
xeon|11.2.0|x86-64|O2|no-omit-frame-pointer|1203.0966999999991
i5|10.3.0|native|Os|no-omit-frame-pointer|2808.167654
i5|4.8.5|x86-64|Os|no-omit-frame-pointer|2717.5181840000005
i5|10.3.0|x86-64|O2|omit-frame-pointer|3009.269942
xeon|9.3.0|native|O3|omit-frame-pointer|1123.0436259999994
i5|9.3.0|x86-64|O3|omit-frame-pointer|2339.203386
i5|10.3.0|native|O3|omit-frame-pointer|2390.5622599999997
xeon|11.2.0|x86-64|O3|no-omit-frame-pointer|1182.0110279999997
i5|4.8.5|x86-64|Os|omit-frame-pointer|3288.508078
xeon|9.3.0|native|Os|omit-frame-pointer|1336.2220760000002
xeon|11.2.0|x86-64|O1|omit-frame-pointer|1220.984693
i5|4.8.5|x86-64|Ofast|omit-frame-pointer|
i5|4.8.5|native|O1|no-omit-frame-pointer|2567.169973
xeon|10.3.0|x86-64|Og|no-omit-frame-pointer|1345.2597609999998
xeon|9.3.0|native|O0|omit-frame-pointer|2223.703412
i5|11.2.0|native|O3|no-omit-frame-pointer|2400.8736320000003
i5|11.2.0|x86-64|Og|no-omit-frame-pointer|3203.8910180000003
i5|11.2.0|x86-64|Os|omit-frame-pointer|2739.3481010000005
xeon|11.2.0|x86-64|Og|no-omit-frame-pointer|1340.3620560000004
xeon|9.3.0|x86-64|O0|no-omit-frame-pointer|2472.685397999999
i5|11.2.0|x86-64|Os|no-omit-frame-pointer|3337.257595
i5|4.8.5|native|O3|no-omit-frame-pointer|2410.6524640000007
i5|9.3.0|native|Ofast|omit-frame-pointer|2969.3320570000005
i5|9.3.0|x86-64|Ofast|no-omit-frame-pointer|2381.359549
xeon|9.3.0|native|O3|no-omit-frame-pointer|1163.9949580000002
i5|4.8.5|native|O0|omit-frame-pointer|3717.451354
i5|9.3.0|native|Og|omit-frame-pointer|2562.181717000001
xeon|11.2.0|native|O0|no-omit-frame-pointer|2445.3877520000005
i5|9.3.0|x86-64|O0|no-omit-frame-pointer|3806.21344
i5|11.2.0|x86-64|Ofast|no-omit-frame-pointer|2377.6733870000003
i5|11.2.0|x86-64|O2|omit-frame-pointer|3006.717331
i5|4.8.5|native|Og|no-omit-frame-pointer|2611.902395
i5|11.2.0|x86-64|O2|no-omit-frame-pointer|3051.5646030000003
i5|10.3.0|x86-64|O2|no-omit-frame-pointer|3011.023170000001
i5|4.8.5|x86-64|O2|no-omit-frame-pointer|3033.537537
xeon|9.3.0|x86-64|O0|omit-frame-pointer|2237.8521529999994
i5|11.2.0|native|Og|no-omit-frame-pointer|3174.737188
i5|9.3.0|x86-64|Os|omit-frame-pointer|3321.4557450000007
i5|4.8.5|native|O2|no-omit-frame-pointer|3028.71861
xeon|10.3.0|native|O3|omit-frame-pointer|1131.094574
i5|11.2.0|x86-64|O1|omit-frame-pointer|2479.1511269999996
i5|10.3.0|x86-64|Og|omit-frame-pointer|2587.3590820000004
xeon|11.2.0|x86-64|Ofast|omit-frame-pointer|1137.330915
xeon|9.3.0|native|Os|no-omit-frame-pointer|1405.8757730000007
xeon|9.3.0|x86-64|Og|omit-frame-pointer|1251.7346209999998
xeon|10.3.0|native|Og|no-omit-frame-pointer|1363.40164
i5|11.2.0|x86-64|O0|omit-frame-pointer|3700.133863000001
i5|10.3.0|native|O0|omit-frame-pointer|3555.7389020000005
xeon|9.3.0|x86-64|Ofast|omit-frame-pointer|1130.8191659999998
xeon|10.3.0|x86-64|O0|omit-frame-pointer|2202.0006830000007
xeon|9.3.0|x86-64|O3|omit-frame-pointer|1143.1517070000002
xeon|11.2.0|native|O3|omit-frame-pointer|1134.5055929999999
xeon|10.3.0|native|O2|no-omit-frame-pointer|1202.752263
xeon|10.3.0|native|O1|no-omit-frame-pointer|1259.6772469999996
xeon|10.3.0|native|O0|omit-frame-pointer|2251.4062660000004
i5|11.2.0|x86-64|Og|omit-frame-pointer|3153.1541839999995
i5|10.3.0|x86-64|O0|omit-frame-pointer|3610.9008470000017
xeon|10.3.0|native|Ofast|omit-frame-pointer|1130.8013500000004
i5|11.2.0|native|O1|omit-frame-pointer|2480.6551170000002
xeon|9.3.0|x86-64|O1|no-omit-frame-pointer|1239.5796449999996
xeon|11.2.0|x86-64|O0|omit-frame-pointer|2212.034519
xeon|9.3.0|native|O1|no-omit-frame-pointer|1237.970281
i5|11.2.0|native|O0|no-omit-frame-pointer|3786.607915
i5|11.2.0|native|Os|omit-frame-pointer|3318.149030999999
i5|9.3.0|x86-64|O1|no-omit-frame-pointer|2486.9349359999997
i5|9.3.0|native|O3|omit-frame-pointer|2367.5329610000003
i5|11.2.0|native|Os|no-omit-frame-pointer|3301.142935
i5|10.3.0|native|Os|omit-frame-pointer|2714.941869999999
i5|9.3.0|native|Os|omit-frame-pointer|2730.3766459999997
xeon|9.3.0|native|O0|no-omit-frame-pointer|2459.7335780000003
i5|10.3.0|x86-64|Ofast|omit-frame-pointer|2310.0271350000003
xeon|11.2.0|x86-64|Os|omit-frame-pointer|1359.378623
i5|10.3.0|x86-64|Os|no-omit-frame-pointer|3383.8318690000006
xeon|10.3.0|native|Os|omit-frame-pointer|1357.6329909999995
i5|9.3.0|native|O3|no-omit-frame-pointer|2381.83947
xeon|11.2.0|x86-64|O3|omit-frame-pointer|1141.5202700000004
i5|11.2.0|x86-64|Ofast|omit-frame-pointer|2345.6521669999997
xeon|11.2.0|native|O2|omit-frame-pointer|1152.9752399999998
i5|4.8.5|x86-64|O0|no-omit-frame-pointer|3789.926771
xeon|10.3.0|x86-64|Og|omit-frame-pointer|1282.2521260000003
i5|9.3.0|x86-64|O2|no-omit-frame-pointer|2389.719497
xeon|9.3.0|native|O1|omit-frame-pointer|1180.9073070000002
xeon|11.2.0|x86-64|O2|omit-frame-pointer|1161.282723
i5|11.2.0|native|Og|omit-frame-pointer|3119.690456
xeon|9.3.0|native|O2|no-omit-frame-pointer|1187.3519620000002
xeon|11.2.0|native|Ofast|no-omit-frame-pointer|1171.125173
i5|4.8.5|x86-64|O1|no-omit-frame-pointer|3177.9311110000003
i5|9.3.0|x86-64|Os|no-omit-frame-pointer|2788.932892
xeon|9.3.0|native|O2|omit-frame-pointer|1163.2568769999993
i5|11.2.0|x86-64|O3|omit-frame-pointer|2383.1335969999996
xeon|10.3.0|x86-64|Os|no-omit-frame-pointer|1420.508146
xeon|10.3.0|x86-64|O3|omit-frame-pointer|1131.2856790000003
i5|11.2.0|native|O0|omit-frame-pointer|3648.0811719999997
i5|10.3.0|native|O2|no-omit-frame-pointer|2506.095692
i5|11.2.0|native|O1|no-omit-frame-pointer|3159.752245
i5|10.3.0|native|Ofast|omit-frame-pointer|2391.9556860000002
(196 rows)
